Sn,CODE,Department,Tags,Degree,Hostel,Year of Graduation,City,Country,Designation,Institution,Work Profile,,
1,AL 101,Aerospace Engineering,Analytics,Bachelor of Technology - B.Tech.,Hostel 7,2012,Mumbai,India,Sr Manager,HDFC Bank,"I have been into analytics since my first job and have worked across FMCG, Finance, Real Estate, HR & Sales.",,
2,AL 102,Computer Science & Engineering,Analytics,Master of Technology - M.Tech.,Hostel 5,2001,Pune,India,Chief Architect and Co-Founder,DataSherpa.io,"Big Data, Data Science, AI, Cloud Computing, Virtualization.",,
3,AL 103,Metallurgical Engineering & Materials Science,Analytics,Dual Degree - B. Tech. & M. Tech.,Hostel 4,2015,Bengaluru,India,Analytics Lead,Avail Finance,"Working as analytics lead for Avail Finance, a fintech startup focused on providing financial services to blue collar work force in India. Prior to this, was working at Citi for 3 years in analytics for North America Cards business",,
4,AL 104,Energy Science & Engineering,Analytics,Master of Technology - M.Tech.,Hostel 1,2007,Thane,India,Director,Course5 Intelligence,Market Research Data Analytics,,
5,AL 105,Mechanical Engineering,Analytics,Bachelor of Technology - B.Tech.,Hostel 9,2006,Bengaluru,India,Head Of Data Science / Computer Vision,Zapr,Build data science products and data driven strategy across startups and large firms,,
6,AL 106,Aerospace Engineering,Analytics,Bachelor of Technology - B.Tech.,Hostel 6,2014,New Delhi,India,Machine Learning Engineer,Google,Working as a AI / ML Engineer with Google,,
7,AL 107,Metallurgical Engineering & Materials Science,Analytics,Bachelor of Technology - B.Tech.,Hostel 13,2014,Bangalore,India,Senior Analyst,Flipkart,Business and data analytics,,
8,AL 108,Chemical Engineering,Analytics,Bachelor of Technology - B.Tech.,Hostel 5,1982,mumbai,India,Faculty and HOD -Operations,Sydenham Management Inst,"Engaged in teaching, consultancy and mentoring, Statistical analysis",,
9,AL 109,Industrial Engineering & Operations Research - I.E.O.R.,Analytics,Master of Technology - M.Tech.,Hostel 12,2012,Jamshedpur,India,Manager,Tata Industries,"Decision Analytics, Resource Planning and Optimization Scheduling",,
10,AL 110,Mathematics,Analytics,Master of Science - M.Sc. / S.M.,Hostel 13,2004,Mumbai,India,"Director - Data & Analytics, Data Science",CRISIL,"Over 15 years of rich work experience in the field of data science, advanced analytics, machine learning, FinTech, Platform and Cloud based data solution. Other activities include data science competency development, facilitating academic interface p",,
12,DO 110,Mechanical Engineering,Other,Bachelor of Technology - B.Tech.,Hostel 2,1974,Mumbai,India,Retired,Not Applicable,Presently working in NGO sector for rural development and education. Over 22 years in Resistance welding systems. Over 40 years in mechanical design.,,
13,CS 103,Mechanical Engineering,Civil Services/Govt. of,Bachelor of Technology - B.Tech.,Hostel 3,2013,Kolkata,India,Assistant Commissioner,"Department of Revenue, Ministry of Finance",My work is related to the Indirect Taxes which includes GST and Customs. The core job is related to collect revenue and prevent tax evasion. In addition to this I also look after the administrative aspect of the department.,,
14,CS 104,Chemical Engineering,Civil Services/Govt. of,Bachelor of Technology - B.Tech.,Hostel 10,2013,Dehradun,India,Indian Forest Service,Govt of India,Presently under training as DFO in Himachal Pradesh,,
15,SC 101,Civil Engineering,Strategy consulting,Bachelor of Technology - B.Tech.,Hostel 9,2014,Gurugram,India,Management Consulting Analyst,Accenture Strategy,I am working with clients of Media and Telecom sector who are located across the globe.,,
16,CR 101,Computer Science & Engineering,Core engineering,Bachelor of Technology - B.Tech.,Hostel 5,1996,Mumbai,India,Software Engineer,OK Roger Inc.,"""Founding member of the engineering team building OK Roger (a software startup building & leveraging technologies in the area of Artificial Intelligence, Data Science & Machine Learning to build a Personal Assistant for Business Travel) Experience",,
17,CR 102,Electrical Engineering,Core engineering,Master of Technology - M.Tech.,Hostel 9,2002,Bangalore,India,Senior Staff Engineer,Qualcomm Inc,VLSI Design,,
18,CR 103,Mechanical Engineering,Core engineering,Bachelor of Technology - B.Tech.,Hostel 5,1997,Mumbai,India,Founder - Director,"MCARTech, Inc.","Industrie 4.0, IIOT, Machinery Diagnostics and Predicting Equipment Failure, Manufacturing in Steel, Forgings, Automobile castings, power generation, business management",,
19,CR 104,Mechanical Engineering,Core engineering,Master of Technology - M.Tech.,Hostel 6,2000,Mumbai,India,GM,Schneider Electric,Business Developement,,
20,CR 105,Mechanical Engineering,Core engineering,Master of Technology - M.Tech.,Hostel 1,1975,Mumbai,India,Retired as GM,Mazagon Dock Ltd Mumbai.,"I worked from 1975 to 2008 in Mazagon Dock Ltd Mumbai mainly in Submarine Design (as General Manager) and Warship Design and also in the field of Commercial, Planning, Project Management and Quality Control. From 2008 to 2012, I worked in Bharati Shi",,
21,CR 106,Centre of Studies in Resources Engineering - CSRE,Core engineering,Doctor of Philosophy - Ph.D.  / D.Phil.,Hostel 9,2016,Nashik,India,Superintending Engineer (Retired),"Water Resources Department, Govt. of Maharashtra","Civil Engineering, Remote Sensing, GIS, Hydrology, Dam Safety Organisation",,
22,CR 107,Mechanical Engineering,Core engineering,Master of Technology - M.Tech.,Hostel 12,2013,Bangalore,India,Engineer- Mechanical Component,GE Power,"I'm involved in mechanical design of gas turbine components and responsible for full product lifecycle of my respective component from past 5 years. It includes all phases of component design (conceptual to detailed), manufacturing, analysis (CAE), e",,
23,CR 108,Electrical Engineering,Core engineering,Master of Technology - M.Tech.,Hostel 12,2007,Bangalore,India,Digital Design Manager,Texas Instruments,VLSI,,
24,CR 109,Electrical Engineering,Core engineering,Master of Technology - M.Tech.,Hostel 13,2005,Bengaluru,India,Application engineer,COMSOL,Simulation and modelling of optical and RF applications. Also currently pursuing part-time PhD at IISc in DESE Department.,,
25,CR 110,Aerospace Engineering,Core engineering,Bachelor of Technology - B.Tech.,Hostel 8,2000,Chennai,India,Product Manager,Forbes Marshall,"Manage a team in R&D to conduct research on steam products, develop them and release in the market.",,
